"gene_id"	"symbol"	"tax_id"	"go_term"
11035	"RIPK3"	9606	"protein kinase activity"
9238	"TBRG4"	9606	"protein kinase activity"
60493	"FASTKD5"	9606	"protein kinase activity"
55681	"SCYL2"	9606	"protein kinase activity"
5439	"POLR2J"	9606	"protein kinase activity"
9641	"IKBKE"	9606	"protein kinase activity"
6197	"RPS6KA3"	9606	"protein kinase activity"
5564	"PRKAB1"	9606	"protein kinase activity"
5433	"POLR2D"	9606	"protein kinase activity"
11184	"MAP4K1"	9606	"protein kinase activity"
3717	"JAK2"	9606	"protein kinase activity"
9252	"RPS6KA5"	9606	"protein kinase activity"
5604	"MAP2K1"	9606	"protein kinase activity"
5058	"PAK1"	9606	"protein kinase activity"
8999	"CDKL2"	9606	"protein kinase activity"
5438	"POLR2I"	9606	"protein kinase activity"
5891	"MOK"	9606	"protein kinase activity"
6093	"ROCK1"	9606	"protein kinase activity"
9201	"DCLK1"	9606	"protein kinase activity"
5593	"PRKG2"	9606	"protein kinase activity"
6732	"SRPK1"	9606	"protein kinase activity"
4751	"NEK2"	9606	"protein kinase activity"
4294	"MAP3K10"	9606	"protein kinase activity"
551	"AVP"	9606	"protein kinase activity"
8737	"RIPK1"	9606	"protein kinase activity"
9020	"MAP3K14"	9606	"protein kinase activity"
7786	"MAP3K12"	9606	"protein kinase activity"
8621	"CDK13"	9606	"protein kinase activity"
5164	"PDK2"	9606	"protein kinase activity"
2965	"GTF2H1"	9606	"protein kinase activity"
4881	"NPR1"	9606	"protein kinase activity"
84197	"SGK196"	9606	"protein kinase activity"
93627	"TBCK"	9606	"protein kinase activity"
207	"AKT1"	9606	"protein kinase activity"
9578	"CDC42BPB"	9606	"protein kinase activity"
9261	"MAPKAPK2"	9606	"protein kinase activity"
2041	"EPHA1"	9606	"protein kinase activity"
51231	"VRK3"	9606	"protein kinase activity"
79072	"FASTKD3"	9606	"protein kinase activity"
2968	"GTF2H4"	9606	"protein kinase activity"
3551	"IKBKB"	9606	"protein kinase activity"
8428	"STK24"	9606	"protein kinase activity"
728642	"CDK11A"	9606	"protein kinase activity"
5166	"PDK4"	9606	"protein kinase activity"
5607	"MAP2K5"	9606	"protein kinase activity"
4214	"MAP3K1"	9606	"protein kinase activity"
91461	"PKDCC"	9606	"protein kinase activity"
5441	"POLR2L"	9606	"protein kinase activity"
4882	"NPR2"	9606	"protein kinase activity"
6416	"MAP2K4"	9606	"protein kinase activity"
902	"CCNH"	9606	"protein kinase activity"
2071	"ERCC3"	9606	"protein kinase activity"
4750	"NEK1"	9606	"protein kinase activity"
5430	"POLR2A"	9606	"protein kinase activity"
143506	"SSU72P3"	9606	"phosphoprotein phosphatase activity"
8613	"PPAP2B"	9606	"phosphoprotein phosphatase activity"
29085	"PHPT1"	9606	"phosphoprotein phosphatase activity"
92609	"TIMM50"	9606	"phosphoprotein phosphatase activity"
57460	"PPM1H"	9606	"phosphoprotein phosphatase activity"
5501	"PPP1CC"	9606	"phosphoprotein phosphatase activity"
51496	"CTDSPL2"	9606	"phosphoprotein phosphatase activity"
85464	"SSH2"	9606	"phosphoprotein phosphatase activity"
192111	"PGAM5"	9606	"phosphoprotein phosphatase activity"
10217	"CTDSPL"	9606	"phosphoprotein phosphatase activity"
5533	"PPP3CC"	9606	"phosphoprotein phosphatase activity"
1852	"DUSP9"	9606	"phosphoprotein phosphatase activity"
136157	"SSU72P8"	9606	"phosphoprotein phosphatase activity"
23371	"TENC1"	9606	"phosphoprotein phosphatase activity"
5781	"PTPN11"	9606	"phosphoprotein phosphatase activity"
8612	"PPAP2C"	9606	"phosphoprotein phosphatase activity"
5536	"PPP5C"	9606	"phosphoprotein phosphatase activity"
160760	"PPTC7"	9606	"phosphoprotein phosphatase activity"
11221	"DUSP10"	9606	"phosphoprotein phosphatase activity"
80824	"DUSP16"	9606	"phosphoprotein phosphatase activity"
390031	"SSU72P2"	9606	"phosphoprotein phosphatase activity"
54434	"SSH1"	9606	"phosphoprotein phosphatase activity"
57026	"PDXP"	9606	"phosphoprotein phosphatase activity"
9989	"PPP4R1"	9606	"phosphoprotein phosphatase activity"
28227	"PPP2R3B"	9606	"phosphoprotein phosphatase activity"
9787	"DLGAP5"	9606	"phosphoprotein phosphatase activity"
8556	"CDC14A"	9606	"phosphoprotein phosphatase activity"
23239	"PHLPP1"	9606	"phosphoprotein phosphatase activity"
1739	"DLG1"	9606	"phosphoprotein phosphatase activity"
147699	"PPM1N"	9606	"phosphoprotein phosphatase activity"
134510	"UBLCP1"	9606	"phosphoprotein phosphatase activity"
5728	"PTEN"	9606	"phosphoprotein phosphatase activity"
4534	"MTM1"	9606	"phosphoprotein phosphatase activity"
