1	2	3	res
TCGA-AB-2896	tier1	3	pop.fig1a
TCGA-AB-2897	tier1	8	pop.fig1a
TCGA-AB-2898	tier1	19	pop.fig1a
TCGA-AB-2899	tier1	17	pop.fig1a
TCGA-AB-2900	tier1	22	pop.fig1a
TCGA-AB-2901	tier1	9	pop.fig1a
TCGA-AB-2903	tier1	3	pop.fig1a
TCGA-AB-2904	tier1	26	pop.fig1a
TCGA-AB-2905	tier1	23	pop.fig1a
TCGA-AB-2906	tier1	16	pop.fig1a
TCGA-AB-2907	tier1	16	pop.fig1a
TCGA-AB-2908	tier1	23	pop.fig1a
TCGA-AB-2909	tier1	1	pop.fig1a
TCGA-AB-2910	tier1	15	pop.fig1a
TCGA-AB-2911	tier1	4	pop.fig1a
TCGA-AB-2912	tier1	24	pop.fig1a
TCGA-AB-2913	tier1	18	pop.fig1a
TCGA-AB-2914	tier1	20	pop.fig1a
TCGA-AB-2915	tier1	28	pop.fig1a
TCGA-AB-2916	tier1	15	pop.fig1a
TCGA-AB-2917	tier1	17	pop.fig1a
TCGA-AB-2918	tier1	2	pop.fig1a
TCGA-AB-2919	tier1	14	pop.fig1a
TCGA-AB-2920	tier1	13	pop.fig1a
TCGA-AB-2921	tier1	11	pop.fig1a
TCGA-AB-2922	tier1	16	pop.fig1a
TCGA-AB-2923	tier1	24	pop.fig1a
TCGA-AB-2924	tier1	12	pop.fig1a
TCGA-AB-2925	tier1	16	pop.fig1a
TCGA-AB-2926	tier1	16	pop.fig1a
TCGA-AB-2927	tier1	30	pop.fig1a
TCGA-AB-2928	tier1	13	pop.fig1a
TCGA-AB-2929	tier1	18	pop.fig1a
TCGA-AB-2930	tier1	13	pop.fig1a
TCGA-AB-2931	tier1	13	pop.fig1a
TCGA-AB-2932	tier1	8	pop.fig1a
TCGA-AB-2933	tier1	2	pop.fig1a
TCGA-AB-2934	tier1	13	pop.fig1a
TCGA-AB-2935	tier1	13	pop.fig1a
TCGA-AB-2936	tier1	11	pop.fig1a
TCGA-AB-2937	tier1	14	pop.fig1a
TCGA-AB-2938	tier1	24	pop.fig1a
TCGA-AB-2939	tier1	22	pop.fig1a
TCGA-AB-2940	tier1	5	pop.fig1a
TCGA-AB-2941	tier1	10	pop.fig1a
TCGA-AB-2942	tier1	2	pop.fig1a
TCGA-AB-2943	tier1	19	pop.fig1a
TCGA-AB-2945	tier1	13	pop.fig1a
TCGA-AB-2946	tier1	3	pop.fig1a
TCGA-AB-2947	tier1	5	pop.fig1a
TCGA-AB-2948	tier1	3	pop.fig1a
TCGA-AB-2949	tier1	17	pop.fig1a
TCGA-AB-2950	tier1	13	pop.fig1a
TCGA-AB-2952	tier1	16	pop.fig1a
TCGA-AB-2954	tier1	1	pop.fig1a
TCGA-AB-2955	tier1	22	pop.fig1a
TCGA-AB-2956	tier1	4	pop.fig1a
TCGA-AB-2957	tier1	3	pop.fig1a
TCGA-AB-2959	tier1	29	pop.fig1a
TCGA-AB-2963	tier1	20	pop.fig1a
TCGA-AB-2964	tier1	20	pop.fig1a
TCGA-AB-2965	tier1	11	pop.fig1a
TCGA-AB-2966	tier1	23	pop.fig1a
TCGA-AB-2967	tier1	12	pop.fig1a
TCGA-AB-2968	tier1	20	pop.fig1a
TCGA-AB-2969	tier1	11	pop.fig1a
TCGA-AB-2970	tier1	13	pop.fig1a
TCGA-AB-2971	tier1	14	pop.fig1a
TCGA-AB-2972	tier1	27	pop.fig1a
TCGA-AB-2973	tier1	8	pop.fig1a
TCGA-AB-2974	tier1	9	pop.fig1a
TCGA-AB-2975	tier1	2	pop.fig1a
TCGA-AB-2976	tier1	25	pop.fig1a
TCGA-AB-2977	tier1	12	pop.fig1a
TCGA-AB-2978	tier1	19	pop.fig1a
TCGA-AB-2979	tier1	11	pop.fig1a
TCGA-AB-2980	tier1	7	pop.fig1a
TCGA-AB-2981	tier1	8	pop.fig1a
TCGA-AB-2982	tier1	5	pop.fig1a
TCGA-AB-2983	tier1	15	pop.fig1a
TCGA-AB-2984	tier1	12	pop.fig1a
TCGA-AB-2985	tier1	6	pop.fig1a
TCGA-AB-2986	tier1	16	pop.fig1a
TCGA-AB-2987	tier1	7	pop.fig1a
TCGA-AB-2988	tier1	18	pop.fig1a
TCGA-AB-2989	tier1	13	pop.fig1a
TCGA-AB-2990	tier1	9	pop.fig1a
TCGA-AB-2991	tier1	12	pop.fig1a
TCGA-AB-2992	tier1	9	pop.fig1a
TCGA-AB-2993	tier1	17	pop.fig1a
TCGA-AB-2994	tier1	13	pop.fig1a
TCGA-AB-2995	tier1	7	pop.fig1a
TCGA-AB-2996	tier1	21	pop.fig1a
TCGA-AB-2997	tier1	16	pop.fig1a
TCGA-AB-2998	tier1	10	pop.fig1a
TCGA-AB-2999	tier1	12	pop.fig1a
TCGA-AB-3000	tier1	6	pop.fig1a
TCGA-AB-3001	tier1	13	pop.fig1a
TCGA-AB-3002	tier1	36	pop.fig1a
TCGA-AB-3005	tier1	23	pop.fig1a
TCGA-AB-3006	tier1	20	pop.fig1a
TCGA-AB-3007	tier1	10	pop.fig1a
TCGA-AB-3008	tier1	6	pop.fig1a
TCGA-AB-3009	tier1	51	pop.fig1a
TCGA-AB-3011	tier1	7	pop.fig1a
TCGA-AB-3012	tier1	9	pop.fig1a
DNMT3A	tier1	57	pop.fig1b
NPM1	tier1	55	pop.fig1b
FLT3	tier1	54	pop.fig1b
TET2	tier1	32	pop.fig1b
RUNX1	tier1	21	pop.fig1b
IDH2	tier1	20	pop.fig1b
TP53	tier1	20	pop.fig1b
CEBPA	tier1	19	pop.fig1b
IDH1	tier1	19	pop.fig1b
NRAS	tier1	15	pop.fig1b
WT1	tier1	13	pop.fig1b
KIT	tier1	10	pop.fig1b
PTPN11	tier1	9	pop.fig1b
KRAS	tier1	8	pop.fig1b
MT-CO2	tier1	8	pop.fig1b
TTN	tier1	8	pop.fig1b
U2AF1	tier1	8	pop.fig1b
SMC1A	tier1	7	pop.fig1b
SMC3	tier1	7	pop.fig1b
FAM5C	tier1	6	pop.fig1b
MT-CYB	tier1	6	pop.fig1b
PHF6	tier1	6	pop.fig1b
STAG2	tier1	6	pop.fig1b
ASXL1	tier1	5	pop.fig1b
FCGBP	tier1	5	pop.fig1b
MIRN142	tier1	5	pop.fig1b
MT-ND5	tier1	5	pop.fig1b
MUC16	tier1	5	pop.fig1b
RAD21	tier1	5	pop.fig1b
COL12A1	tier1	4	pop.fig1b
CSMD1	tier1	4	pop.fig1b
DNAH9	tier1	4	pop.fig1b
ENSG00000211459	tier1	4	pop.fig1b
EZH2	tier1	4	pop.fig1b
KCNU1	tier1	4	pop.fig1b
MUC5B	tier1	4	pop.fig1b
PKD1L2	tier1	4	pop.fig1b
PLCE1	tier1	4	pop.fig1b
STC2	tier1	4	pop.fig1b
CACNA1B	tier1	3	pop.fig1b
CACNA1E	tier1	3	pop.fig1b
CADPS	tier1	3	pop.fig1b
CBL	tier1	3	pop.fig1b
CROCC	tier1	3	pop.fig1b
DIS3	tier1	3	pop.fig1b
DRD2	tier1	3	pop.fig1b
DYSF	tier1	3	pop.fig1b
FLG	tier1	3	pop.fig1b
GBP4	tier1	3	pop.fig1b
GRIK2	tier1	3	pop.fig1b
HECW1	tier1	3	pop.fig1b
HNRNPK	tier1	3	pop.fig1b
KDR	tier1	3	pop.fig1b
KIAA1683	tier1	3	pop.fig1b
LOC152845	tier1	3	pop.fig1b
LRP1B	tier1	3	pop.fig1b
MAP2	tier1	3	pop.fig1b
MT-CO3	tier1	3	pop.fig1b
MT-ND1	tier1	3	pop.fig1b
MT-ND4	tier1	3	pop.fig1b
PHACTR1	tier1	3	pop.fig1b
PTPRT	tier1	3	pop.fig1b
SMG1	tier1	3	pop.fig1b
SPEN	tier1	3	pop.fig1b
SUZ12	tier1	3	pop.fig1b
TCEAL3	tier1	3	pop.fig1b
TUBA3C	tier1	3	pop.fig1b
UNC5B	tier1	3	pop.fig1b
UTX	tier1	3	pop.fig1b
WAC	tier1	3	pop.fig1b
ABTB1	tier1	2	pop.fig1b
ADAM11	tier1	2	pop.fig1b
ADCY5	tier1	2	pop.fig1b
AKAP13	tier1	2	pop.fig1b
ALPK3	tier1	2	pop.fig1b
ANK2	tier1	2	pop.fig1b
APOB	tier1	2	pop.fig1b
ARAP2	tier1	2	pop.fig1b
ATG16L1	tier1	2	pop.fig1b
ATP10B	tier1	2	pop.fig1b
ATP2B3	tier1	2	pop.fig1b
BCOR	tier1	2	pop.fig1b
BMPER	tier1	2	pop.fig1b
BSN	tier1	2	pop.fig1b
C10orf118	tier1	2	pop.fig1b
C10orf28	tier1	2	pop.fig1b
C17orf97	tier1	2	pop.fig1b
C5	tier1	2	pop.fig1b
CACNA1G	tier1	2	pop.fig1b
CACNA2D3	tier1	2	pop.fig1b
CADM2	tier1	2	pop.fig1b
CALR	tier1	2	pop.fig1b
CBFB	tier1	2	pop.fig1b
CBX7	tier1	2	pop.fig1b
CCDC67	tier1	2	pop.fig1b
CD74	tier1	2	pop.fig1b
CECR2	tier1	2	pop.fig1b
CELSR3	tier1	2	pop.fig1b
CHD4	tier1	2	pop.fig1b
CLEC18B	tier1	2	pop.fig1b
5	DBV001_genotypes.txt	1.205	fam.window
5	DGM001_genotypes.txt	1.205	fam.window
5	DBV001_genotypes.txt	1.219	fam.window
5	LXJ001_genotypes.txt	1.219	fam.window
5	DGM001_genotypes.txt	1.211	fam.window
5	LXJ001_genotypes.txt	1.211	fam.window
10	DBV001_genotypes.txt	1.163	fam.window
10	DGM001_genotypes.txt	1.163	fam.window
10	DBV001_genotypes.txt	1.174	fam.window
10	LXJ001_genotypes.txt	1.174	fam.window
10	DGM001_genotypes.txt	1.173	fam.window
10	LXJ001_genotypes.txt	1.173	fam.window
15	DBV001_genotypes.txt	1.147	fam.window
15	DGM001_genotypes.txt	1.147	fam.window
15	DBV001_genotypes.txt	1.156	fam.window
15	LXJ001_genotypes.txt	1.156	fam.window
15	DGM001_genotypes.txt	1.152	fam.window
15	LXJ001_genotypes.txt	1.152	fam.window
20	DBV001_genotypes.txt	1.137	fam.window
20	DGM001_genotypes.txt	1.137	fam.window
20	DBV001_genotypes.txt	1.146	fam.window
20	LXJ001_genotypes.txt	1.146	fam.window
20	DGM001_genotypes.txt	1.142	fam.window
20	LXJ001_genotypes.txt	1.142	fam.window
25	DBV001_genotypes.txt	1.132	fam.window
25	DGM001_genotypes.txt	1.132	fam.window
25	DBV001_genotypes.txt	1.138	fam.window
25	LXJ001_genotypes.txt	1.138	fam.window
25	DGM001_genotypes.txt	1.133	fam.window
25	LXJ001_genotypes.txt	1.133	fam.window
30	DBV001_genotypes.txt	1.125	fam.window
30	DGM001_genotypes.txt	1.125	fam.window
30	DBV001_genotypes.txt	1.132	fam.window
30	LXJ001_genotypes.txt	1.132	fam.window
30	DGM001_genotypes.txt	1.125	fam.window
30	LXJ001_genotypes.txt	1.125	fam.window
35	DBV001_genotypes.txt	1.122	fam.window
35	DGM001_genotypes.txt	1.122	fam.window
35	DBV001_genotypes.txt	1.124	fam.window
35	LXJ001_genotypes.txt	1.124	fam.window
35	DGM001_genotypes.txt	1.12	fam.window
35	LXJ001_genotypes.txt	1.12	fam.window
40	DBV001_genotypes.txt	1.113	fam.window
40	DGM001_genotypes.txt	1.113	fam.window
40	DBV001_genotypes.txt	1.117	fam.window
40	LXJ001_genotypes.txt	1.117	fam.window
40	DGM001_genotypes.txt	1.116	fam.window
40	LXJ001_genotypes.txt	1.116	fam.window
45	DBV001_genotypes.txt	1.111	fam.window
45	DGM001_genotypes.txt	1.111	fam.window
45	DBV001_genotypes.txt	1.115	fam.window
45	LXJ001_genotypes.txt	1.115	fam.window
45	DGM001_genotypes.txt	1.114	fam.window
45	LXJ001_genotypes.txt	1.114	fam.window
50	DBV001_genotypes.txt	1.108	fam.window
50	DGM001_genotypes.txt	1.108	fam.window
50	DBV001_genotypes.txt	1.114	fam.window
50	LXJ001_genotypes.txt	1.114	fam.window
50	DGM001_genotypes.txt	1.109	fam.window
50	LXJ001_genotypes.txt	1.109	fam.window
